13:30:22   17.05.2016             Programme Climap                  MeteoSuisse
Heures en UTC 0040 (UTC)  =  01:40 heures Heure d'hiver  =  02:40 heures Heure d'été
Période: 01.01.2011 00:00  -  16.05.2016 00:00 UTC 32767 -> Valeur manquante
nombre de stations  2
     2	Bad Ragaz                496 m s.m.	756910/ 209351
    36	Vaduz                    457 m s.m.	757719/ 221697
nombre de paramètres  1
   211  température de l'air à 2 m du sol; moyenne journalière  [°C]

  STA JAHR MO TG HH MM   211
    2 2011  8 21  0  0  26.2 
    2 2011  8 22  0  0  25.9 
    2 2011  8 23  0  0  27.8 
    2 2011  8 24  0  0  25.0 
    2 2011  8 25  0  0  23.9 
    2 2011  8 26  0  0  26.6 
    2 2011  8 27  0  0  11.0 
    2 2011  8 28  0  0  16.5 
    2 2011  8 29  0  0  15.8 
    2 2011  8 30  0  0  17.8 
    2 2011  8 31  0  0  19.0 
    2 2011  9  1  0  0  18.3 
    2 2011  9  2  0  0  19.8 
    2 2011  9  3  0  0  23.2 
    2 2011  9  4  0  0  21.4 
    2 2011  9  5  0  0  15.7 
    2 2011  9  6  0  0  15.6 
    2 2011  9  7  0  0  16.9 
    2 2011  9  8  0  0  17.2 
    2 2011  9  9  0  0  19.1 
    2 2011  9 10  0  0  22.7 
    2 2011  9 11  0  0  23.4 
    2 2011  9 12  0  0  19.0 
    2 2011  9 13  0  0  18.5 
    2 2011  9 14  0  0  16.6 
    2 2011  9 15  0  0  17.6 
    2 2011  9 16  0  0  17.9 
    2 2011  9 17  0  0  18.1 
    2 2011  9 18  0  0  11.2 
    2 2011  9 19  0  0   7.3 
    2 2011  9 20  0  0  12.1 
    2 2011  9 21  0  0  15.5 
    2 2011  9 22  0  0  14.6 
    2 2011  9 23  0  0  15.3 
    2 2011  9 24  0  0  16.4 
    2 2011  9 25  0  0  17.7 
    2 2011  9 26  0  0  17.5 
    2 2011  9 27  0  0  17.9 
    2 2011  9 28  0  0  17.4 
    2 2011  9 29  0  0  17.3 
    2 2011  9 30  0  0  16.9 
    2 2011 10  1  0  0  17.5 
    2 2011 10  2  0  0  17.2 
    2 2011 10  3  0  0  18.1 
    2 2011 10  4  0  0  16.5 
    2 2011 10  5  0  0  15.3 
    2 2011 10  6  0  0  17.8 
    2 2011 10  7  0  0   9.4 
    2 2011 10  8  0  0   5.0 
    2 2011 10  9  0  0   7.1 
    2 2011 10 10  0  0   7.5 
    2 2011 10 11  0  0  13.9 
    2 2011 10 12  0  0  12.3 
    2 2011 10 13  0  0  12.5 
    2 2011 10 14  0  0  11.9 
    2 2011 10 15  0  0   6.9 
    2 2011 10 16  0  0   6.4 
    2 2011 10 17  0  0   8.9 
    2 2011 10 18  0  0  10.3 
    2 2011 10 19  0  0  10.6 
    2 2011 10 20  0  0   5.7 
    2 2011 10 21  0  0   5.9 
    2 2011 10 22  0  0   4.7 
    2 2011 10 23  0  0   6.1 
    2 2011 10 24  0  0  10.1 
    2 2011 10 25  0  0  14.4 
    2 2011 10 26  0  0  10.8 
    2 2011 10 27  0  0  11.6 
    2 2011 10 28  0  0  10.7 
    2 2011 10 29  0  0   8.9 
    2 2011 10 30  0  0  10.4 
    2 2011 10 31  0  0   7.3 
    2 2011 11  1  0  0   7.1 
    2 2011 11  2  0  0   9.0 
    2 2011 11  3  0  0  16.2 
    2 2011 11  4  0  0  18.2 
    2 2011 11  5  0  0  17.1 
    2 2011 11  6  0  0  15.0 
    2 2011 11  7  0  0  11.9 
    2 2011 11  8  0  0  13.3 
    2 2011 11  9  0  0  11.3 
    2 2011 11 10  0  0   6.2 
    2 2011 11 11  0  0   4.0 
    2 2011 11 12  0  0   8.7 
    2 2011 11 13  0  0   3.6 
    2 2011 11 14  0  0   1.7 
    2 2011 11 15  0  0   1.1 
    2 2011 11 16  0  0   0.9 
    2 2011 11 17  0  0   3.6 
    2 2011 11 18  0  0   3.3 
    2 2011 11 19  0  0   3.2 
    2 2011 11 20  0  0   0.5 
    2 2011 11 21  0  0   5.8 
    2 2011 11 22  0  0   2.4 
    2 2011 11 23  0  0   0.4 
    2 2011 11 24  0  0   1.8 
    2 2011 11 25  0  0   2.2 
    2 2011 11 26  0  0   2.6 
    2 2011 11 27  0  0   5.7 
    2 2011 11 28  0  0   2.9 
    2 2011 11 29  0  0   2.6 
    2 2011 11 30  0  0   6.7 
    2 2011 12  1  0  0   6.4 
    2 2011 12  2  0  0  13.3 
    2 2011 12  3  0  0   8.1 
    2 2011 12  4  0  0   8.7 
